date,temperature,humidity,luminosity
2020-12-03 16:11:07.775,17.4,16.6,117
2020-12-03 16:11:05.498,17.5,16.7,116
2020-12-03 16:11:03.221,17.4,16.7,117
2020-12-03 16:11:00.944,17.5,16.7,118
2020-12-03 16:10:58.670,17.5,16.7,117
2020-12-03 16:10:56.393,17.5,16.7,122
2020-12-03 16:10:54.116,17.5,16.7,118
2020-12-03 16:10:51.838,17.4,16.7,117
2020-12-03 16:10:49.561,17.5,16.7,117
2020-12-03 16:10:47.288,17.5,16.7,117
2020-12-03 16:10:45.011,17.5,16.7,117
2020-12-03 16:10:42.733,17.5,16.7,117
2020-12-03 16:10:40.456,17.5,16.7,118
2020-12-03 16:10:38.179,17.5,16.7,117
2020-12-03 16:10:35.901,17.5,16.7,118
2020-12-03 16:10:33.629,17.5,16.7,119
2020-12-03 16:10:31.351,17.5,16.7,118
2020-12-03 16:10:29.074,17.5,16.7,118
2020-12-03 16:10:26.796,17.5,16.7,116
2020-12-03 16:10:24.519,17.5,16.7,117
2020-12-03 16:10:22.246,17.5,16.7,116
2020-12-03 16:10:19.968,17.5,16.7,117
2020-12-03 16:10:17.691,17.5,16.7,117
2020-12-03 16:10:15.414,17.5,16.7,118
2020-12-03 16:10:13.137,17.5,16.7,117
2020-12-03 16:10:10.859,17.5,16.7,117
2020-12-03 16:10:08.586,17.5,16.7,117
2020-12-03 16:10:06.309,17.5,16.7,124
2020-12-03 16:10:04.031,17.5,16.7,117
2020-12-03 16:10:01.754,17.5,16.7,116
2020-12-03 16:09:59.477,17.5,16.7,116
2020-12-03 16:09:57.204,17.5,16.7,117
2020-12-03 16:09:54.926,17.6,16.7,121
2020-12-03 16:09:52.649,17.6,16.7,121
2020-12-03 16:09:50.372,17.6,16.7,118
2020-12-03 16:09:48.094,17.5,16.7,117
2020-12-03 16:09:45.821,17.5,16.8,118
2020-12-03 16:09:43.543,17.6,16.8,118
2020-12-03 16:09:41.266,17.5,16.8,117
2020-12-03 16:09:38.988,17.5,16.8,117
